epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,647.101,1.3756,1.89267,1.36296,0.08273,0.05495,0.03514,0.01837,2.62601,4.06283,2.69782,0.0847,0.0017,0.0017
2,1259.16,1.35549,1.05753,1.36745,0.002,0.28571,0.00155,0.00043,3.77464,3879.99,9.9703,0.068401,0.003401,0.003401
3,1854.45,1.34583,1.01044,1.37097,0.00409,0.33516,0.00291,0.00076,2.96919,982.445,8.42664,0.0520002,0.00500017,0.00500017
4,2468.16,1.35905,1.00747,1.36543,0.00224,0.14835,0.00132,0.00046,3.41694,178.119,8.19913,0.0354975,0.00649751,0.00649751
5,3070.89,1.37384,0.97411,1.39729,0.18996,0.26374,0.08497,0.03461,2.31371,3.18988,3.84016,0.018893,0.00789303,0.00789303
6,3673.7,1.37349,0.97039,1.39212,0.00042,0.09341,0.00021,6e-05,3.4042,157.187,6.74982,0.00858571,0.00858571,0.00858571
7,4274.19,1.32097,0.90279,1.36795,0.08922,0.13187,0.0413,0.01386,2.22515,7.61857,2.54252,0.00830286,0.00830286,0.00830286
8,4862.84,1.32123,0.85592,1.3645,0.0269,0.42308,0.02056,0.00784,2.08027,17.5053,2.35417,0.00802,0.00802,0.00802
9,5459.53,1.25443,0.82314,1.33028,0.5454,0.58242,0.48684,0.19342,2.01878,2.58177,2.11416,0.00773714,0.00773714,0.00773714
10,6033,1.25354,0.79407,1.33651,0.49116,0.54396,0.44537,0.2338,1.52437,3.26686,1.61058,0.00745429,0.00745429,0.00745429
11,6604.94,1.23151,0.75141,1.31217,0.75249,0.58242,0.63264,0.34254,1.57628,1.96403,1.58719,0.00717143,0.00717143,0.00717143
12,7203.9,1.23684,0.74662,1.32792,0.8542,0.7033,0.78026,0.41476,1.56808,1.51703,1.56082,0.00688857,0.00688857,0.00688857
13,7777.5,1.1985,0.727,1.29472,0.83278,0.68132,0.7499,0.42548,1.48121,1.95583,1.50919,0.00660571,0.00660571,0.00660571
14,8355.66,1.22143,0.72629,1.3067,0.01126,0.04945,0.00624,0.00213,3.52175,9.85803,3.87048,0.00632286,0.00632286,0.00632286
15,8921.63,1.18985,0.71046,1.27953,0.77631,0.57692,0.65338,0.34345,1.5682,2.64956,1.54262,0.00604,0.00604,0.00604
16,9482.58,1.15369,0.66742,1.26643,0.77323,0.65934,0.71376,0.32907,1.72677,1.59617,1.74525,0.00575714,0.00575714,0.00575714
17,10050.9,1.14398,0.65995,1.25291,0.93687,0.78571,0.83542,0.48734,1.35052,0.91306,1.39354,0.00547429,0.00547429,0.00547429
18,10638.6,1.17005,0.67211,1.27509,0.88567,0.70879,0.76666,0.45161,1.36897,1.53192,1.40412,0.00519143,0.00519143,0.00519143
19,11224.1,1.13964,0.64566,1.26394,0.9245,0.80736,0.84573,0.50203,1.33053,0.77716,1.36998,0.00490857,0.00490857,0.00490857
20,11790.6,1.11157,0.62597,1.23756,0.97153,0.79121,0.86655,0.53328,1.30393,0.70498,1.34916,0.00462571,0.00462571,0.00462571
21,12360.9,1.09646,0.61614,1.21772,0.93499,0.80769,0.87945,0.48208,1.40878,0.74779,1.444,0.00434286,0.00434286,0.00434286
22,12920.4,1.07351,0.5919,1.21105,0.94756,0.79427,0.86626,0.51721,1.35416,0.70476,1.39008,0.00406,0.00406,0.00406
23,13497.5,1.09323,0.61209,1.23233,0.96219,0.8022,0.88808,0.5782,1.18351,0.66074,1.26264,0.00377714,0.00377714,0.00377714
24,14075.2,1.06436,0.57956,1.21215,0.966,0.78057,0.85479,0.48587,1.3904,0.68235,1.4292,0.00349429,0.00349429,0.00349429
25,14732.4,1.06804,0.56628,1.21932,0.9486,0.79121,0.84149,0.53452,1.27268,0.68644,1.32362,0.00321143,0.00321143,0.00321143
26,15553.1,1.01137,0.53242,1.2366,0.97953,0.78869,0.87116,0.55093,1.25066,0.65733,1.29767,0.00292857,0.00292857,0.00292857
27,16278.8,0.97843,0.49103,1.24291,0.95397,0.79716,0.89178,0.54602,1.2036,0.64265,1.29708,0.00264571,0.00264571,0.00264571
28,17012.5,0.96499,0.47539,1.22602,0.95477,0.78022,0.87155,0.52795,1.26759,0.63783,1.3399,0.00236286,0.00236286,0.00236286
29,17609.5,0.94751,0.44933,1.21843,0.97906,0.81319,0.91034,0.56213,1.28646,0.60901,1.3346,0.00208,0.00208,0.00208
30,18150.8,0.9627,0.44919,1.21825,0.92015,0.86264,0.91915,0.54654,1.34863,0.6298,1.35563,0.00179714,0.00179714,0.00179714
31,18682.2,0.91466,0.43521,1.19164,0.95036,0.8022,0.89316,0.53761,1.27753,0.63504,1.32391,0.00151429,0.00151429,0.00151429
32,19232.9,0.91189,0.42747,1.18549,0.94478,0.82967,0.92999,0.59785,1.22801,0.61193,1.29356,0.00123143,0.00123143,0.00123143
33,19805.5,0.90219,0.41226,1.18007,0.96893,0.85672,0.92661,0.57301,1.29343,0.58214,1.33138,0.000948571,0.000948571,0.000948571
34,20347.9,0.87776,0.39838,1.15838,0.97305,0.85165,0.93281,0.59351,1.27637,0.58836,1.31371,0.000665714,0.000665714,0.000665714
35,20880.6,0.85948,0.39474,1.14282,0.9627,0.85086,0.93628,0.592,1.25627,0.59084,1.31312,0.000382857,0.000382857,0.000382857
